date,device_type,traffic_source,region,product_category,sessions,orders,add_to_cart,checkout_start,revenue,bounce_rate
2026-03-09,mobile,organic,west,electronics,539,17,49,31,1385.29,0.408
2026-03-09,mobile,organic,west,apparel,626,20,54,33,1560.97,0.397
2026-03-09,mobile,organic,west,home,519,15,42,24,1047.11,0.436
2026-03-09,mobile,organic,west,sports,427,12,41,24,1032.16,0.349
2026-03-09,mobile,organic,east,electronics,456,14,38,23,1063.87,0.405
2026-03-09,mobile,organic,east,apparel,451,15,40,22,1460.07,0.359
2026-03-09,mobile,organic,east,home,516,14,43,26,1345.08,0.429
2026-03-09,mobile,organic,east,sports,490,15,40,23,1171.36,0.473
2026-03-09,mobile,organic,midwest,electronics,527,15,47,27,1122.69,0.451
2026-03-09,mobile,organic,midwest,apparel,582,19,49,28,1709.41,0.469
2026-03-09,mobile,organic,midwest,home,461,14,39,22,1360.63,0.488
2026-03-09,mobile,organic,midwest,sports,494,16,45,26,1446.73,0.497
2026-03-09,mobile,organic,south,electronics,497,17,38,23,1467.2,0.405
2026-03-09,mobile,organic,south,apparel,507,14,44,26,1500.36,0.394
2026-03-09,mobile,organic,south,home,435,13,40,24,1001.7,0.446
2026-03-09,mobile,organic,south,sports,507,17,43,25,1345.01,0.347
2026-03-09,mobile,paid_social,west,electronics,523,16,46,27,1020.31,0.399
2026-03-09,mobile,paid_social,west,apparel,472,14,41,25,1586.1,0.429
2026-03-09,mobile,paid_social,west,home,520,16,42,25,1374.46,0.543
2026-03-09,mobile,paid_social,west,sports,484,15,43,24,1532.14,0.458
2026-03-09,mobile,paid_social,east,electronics,563,17,53,29,1594.65,0.53
2026-03-09,mobile,paid_social,east,apparel,420,13,37,21,802.62,0.423
2026-03-09,mobile,paid_social,east,home,415,13,35,22,952.27,0.404
2026-03-09,mobile,paid_social,east,sports,565,16,51,32,974.2,0.429
2026-03-09,mobile,paid_social,midwest,electronics,520,17,43,24,1578.1,0.435
2026-03-09,mobile,paid_social,midwest,apparel,520,16,45,27,1430.34,0.384
2026-03-09,mobile,paid_social,midwest,home,649,21,54,33,1477.98,0.459
2026-03-09,mobile,paid_social,midwest,sports,592,18,55,33,1751.96,0.515
2026-03-09,mobile,paid_social,south,electronics,480,14,41,23,1173.81,0.437
2026-03-09,mobile,paid_social,south,apparel,522,17,46,29,1377.51,0.556
2026-03-09,mobile,paid_social,south,home,550,16,46,28,1306.37,0.456
2026-03-09,mobile,paid_social,south,sports,537,17,46,25,1331.14,0.463
2026-03-09,mobile,paid_search,west,electronics,517,15,46,28,1076.13,0.428
2026-03-09,mobile,paid_search,west,apparel,504,15,45,27,1518.69,0.473
2026-03-09,mobile,paid_search,west,home,389,11,35,21,1019.98,0.613
2026-03-09,mobile,paid_search,west,sports,545,18,51,31,1444.88,0.458
2026-03-09,mobile,paid_search,east,electronics,438,13,38,22,1556.36,0.327
2026-03-09,mobile,paid_search,east,apparel,554,16,48,30,1375.43,0.366
2026-03-09,mobile,paid_search,east,home,442,14,38,23,1199.57,0.387
2026-03-09,mobile,paid_search,east,sports,671,22,54,32,1651.61,0.463
2026-03-09,mobile,paid_search,midwest,electronics,436,13,40,25,870.94,0.403
2026-03-09,mobile,paid_search,midwest,apparel,462,14,45,27,925.21,0.466
2026-03-09,mobile,paid_search,midwest,home,669,22,55,32,2288.08,0.385
2026-03-09,mobile,paid_search,midwest,sports,535,17,45,26,618.48,0.369
2026-03-09,mobile,paid_search,south,electronics,479,14,46,25,1097.59,0.427
2026-03-09,mobile,paid_search,south,apparel,615,18,58,34,1264.99,0.443
2026-03-09,mobile,paid_search,south,home,515,15,46,27,1300.54,0.453
2026-03-09,mobile,paid_search,south,sports,626,18,62,33,1489.02,0.449
2026-03-09,mobile,email,west,electronics,522,16,46,26,1218.55,0.462
2026-03-09,mobile,email,west,apparel,528,16,49,29,1555.09,0.451
2026-03-09,mobile,email,west,home,433,13,40,24,1100.92,0.426
2026-03-09,mobile,email,west,sports,602,18,55,32,1471.23,0.475
2026-03-09,mobile,email,east,electronics,566,18,54,32,1714.13,0.404
2026-03-09,mobile,email,east,apparel,525,16,47,29,1163.63,0.525
2026-03-09,mobile,email,east,home,419,12,39,24,1132.34,0.451
2026-03-09,mobile,email,east,sports,499,15,44,25,1494.4,0.413
2026-03-09,mobile,email,midwest,electronics,433,13,39,22,944.67,0.432
2026-03-09,mobile,email,midwest,apparel,519,16,45,27,1012.46,0.35
2026-03-09,mobile,email,midwest,home,442,13,40,25,1272.24,0.412
2026-03-09,mobile,email,midwest,sports,498,15,44,26,1347.61,0.379
2026-03-09,mobile,email,south,electronics,541,18,48,29,1716.34,0.4
2026-03-09,mobile,email,south,apparel,517,16,46,26,1365.88,0.445
2026-03-09,mobile,email,south,home,616,20,61,35,1961.7,0.429
2026-03-09,mobile,email,south,sports,675,20,57,33,1062.83,0.394
2026-03-09,mobile,direct,west,electronics,439,14,40,26,1389.59,0.391
2026-03-09,mobile,direct,west,apparel,428,14,35,22,1437.68,0.397
2026-03-09,mobile,direct,west,home,362,12,32,20,733.0,0.39
2026-03-09,mobile,direct,west,sports,500,16,43,26,1103.77,0.413
2026-03-09,mobile,direct,east,electronics,509,16,47,26,991.81,0.484
2026-03-09,mobile,direct,east,apparel,526,16,50,30,1643.03,0.423
2026-03-09,mobile,direct,east,home,664,23,58,36,2177.65,0.488
2026-03-09,mobile,direct,east,sports,422,13,39,21,874.26,0.318
2026-03-09,mobile,direct,midwest,electronics,478,15,46,27,1641.44,0.351
2026-03-09,mobile,direct,midwest,apparel,363,11,33,19,593.87,0.416
2026-03-09,mobile,direct,midwest,home,395,13,36,20,1004.8,0.367
2026-03-09,mobile,direct,midwest,sports,494,16,42,25,1232.74,0.38
2026-03-09,mobile,direct,south,electronics,491,14,42,23,1602.59,0.422
2026-03-09,mobile,direct,south,apparel,444,14,39,23,1318.98,0.458
2026-03-09,mobile,direct,south,home,457,14,40,21,871.81,0.488
2026-03-09,mobile,direct,south,sports,631,19,58,35,2492.48,0.476
2026-03-09,desktop,organic,west,electronics,489,25,69,41,1841.37,0.349
2026-03-09,desktop,organic,west,apparel,448,23,74,46,1952.25,0.494
2026-03-09,desktop,organic,west,home,506,26,83,51,1805.47,0.41
2026-03-09,desktop,organic,west,sports,429,21,69,45,1344.45,0.448
2026-03-09,desktop,organic,east,electronics,447,23,66,37,1971.74,0.378
2026-03-09,desktop,organic,east,apparel,521,28,79,45,2137.76,0.458
2026-03-09,desktop,organic,east,home,540,28,83,51,1678.85,0.447
